GR,NPHI,RHOB,SW,VSH,PHI,LFC
,0.4054,2.284624,1.0,0.6084241599834821,0.27919537907666603,4.0
,0.4034,2.2869085,1.0,0.651125826912976,0.28078188366458395,4.0
,0.3846,2.2828425,1.0,0.690234513711071,0.28591013782218605,4.0
,0.3776,2.2790275,1.0,0.7532143387929541,0.292462132515709,4.0
,0.3807,2.2777439999999998,1.0,0.7717896036149899,0.294473632370531,4.0
,0.3888,2.27718,1.0,0.718455347550205,0.29121587152431394,4.0
,0.3923,2.28479499999999,1.0,0.665022389473601,0.283009822662763,4.0
,0.39,2.29285000000003,1.0,0.6574472936929411,0.277650677649253,4.0
,0.3964,2.302912,1.0,0.645098197156701,0.270742819719252,4.0
,0.3934,2.304868,1.0,0.656309384292312,0.270353713348071,4.0
,0.4172,2.304655,1.0,0.6253509877575469,0.26830487383436497,4.0
,0.4055,2.30509500000001,1.0,0.638844800729714,0.2689905474893,4.0
,0.3967,2.301705,1.0,0.640720138954281,0.271161560630565,4.0
,0.3629,2.303456,1.0,0.6294068462892011,0.269312773618518,4.0
,0.3577,2.3038735,1.0,0.6248847058396421,0.268742777379518,4.0
,0.3707,2.29925000000003,1.0,0.623114876662193,0.271403759635978,4.0
,0.38799999999999996,2.28759449999999,1.0,0.6728811117250051,0.281871725795675,4.0
,0.3933,2.2787319999999998,1.0,0.6800613994583871,0.287676772412305,4.0
,0.3792,2.28417599999996,1.0,0.711071983263769,0.286535833809338,4.0
,0.3797,2.30875900000001,1.0,0.6174684408826,0.265274469516339,4.0
,0.3837,2.3292425,1.0,0.544663794854108,0.247642683690989,4.0
,0.3826,2.31772000000002,1.0,0.47322509390872397,0.24942961447928697,4.0
,0.36700000000000005,2.287144,1.0,0.528254301762682,0.27204077848931896,4.0
,0.3743,2.27920299999999,1.0,0.57257150506954,0.27997410854943,4.0
,0.3766,2.2864825,1.0,0.6514242019601989,0.28105848970271197,4.0
,0.3937,2.2866735,1.0,0.710522882416407,0.28500616469448603,4.0
,0.4133,2.28004,1.0,0.758672446595972,0.292227439974183,4.0
,0.4332,2.2818445,1.0,0.803531943714894,0.294167283073773,4.0
,0.4409,2.2843479999999903,1.0,0.7911351979315691,0.29185283559737296,4.0
,0.4089,2.291065,1.0,0.759066120137366,0.285697114835372,4.0
,0.3898,2.2971839999999903,1.0,0.681861860294676,0.276744640502093,4.0
,0.3837,2.29068,1.0,0.614235099116106,0.275947532236122,4.0
,0.3856,2.28690199999999,1.0,0.6041164411458051,0.277520439090976,4.0
,0.3869,2.286254,1.0,0.5495433046568061,0.274085531868235,4.0
,0.3859,2.294,1.0,0.492841835131336,0.26534060360178197,4.0
,0.3833,2.29589,1.0,0.448549590953904,0.260991728992016,4.0
,0.3888,2.299,1.0,0.45717070115867103,0.259711606553004,4.0
,0.3873,2.2977925,1.0,0.45982204140719607,0.260643026451851,4.0
,0.3852,2.29172300000004,1.0,0.465513857422108,0.264768385141659,4.0
,0.3815,2.27362799999999,1.0,0.38992740296854794,0.270441029209516,4.0
,0.3815,2.25724999999998,1.0,0.418746121408012,0.282575018306218,4.0
,0.382,2.2554950000000002,1.0,0.420881261479781,0.28380407137501096,4.0
,0.3765,2.26780000000001,1.0,0.469008135541687,0.279651224232061,4.0
,0.361,2.28268800000001,1.0,0.48621858978649696,0.27177209683292397,4.0
,0.3521,2.287584,1.0,0.458856576900779,0.266822886224514,4.0
,0.3447,2.2835125,1.0,0.456293728111127,0.269132035221121,4.0
,0.3508,2.27917650000001,1.0,0.446268099623231,0.271071233868921,4.0
,0.3477,2.2742639999999903,1.0,0.431215475567849,0.27300919838482196,4.0
,0.3292,2.279432,1.0,0.418128950207671,0.268896958683025,4.0
,0.3353,2.27754499999999,1.0,0.40872276193188206,0.269380962160595,4.0
,0.3339,2.2711490000000003,1.0,0.443507846809939,0.275795794642937,4.0
,0.3508,2.26967899999998,1.0,0.438796243877923,0.27636262679901696,4.0
,0.3536,2.28168399999999,1.0,0.40960767652060703,0.26689836486376395,4.0
,0.3668,2.2718719999999903,1.0,0.4019622413752029,0.272386970678951,4.0
,0.3631,2.2673555,1.0,0.40327713369357704,0.275261398058273,4.0
,0.3585,2.26728899999999,1.0,0.40624386657757,0.27551402401688696,4.0
,0.4165,2.26804,1.0,0.39039935741586795,0.273919128775194,4.0
,0.4476,2.2744199999999903,1.0,0.438942595136827,0.273464843787306,4.0
,0.4249,2.283649,1.0,0.453688902603805,0.26886184778759,4.0
,0.3652,2.292,1.0,0.491582533601228,0.266470784631914,4.0
,0.3485,2.291572,1.0,0.44303929588026897,0.263239865754737,4.0
,0.3835,2.28986,1.0,0.44988603888405504,0.264783452343311,4.0
,0.3873,2.2911605,1.0,0.44556810949343195,0.263674859078257,4.0
,0.3702,2.2943564999999997,1.0,0.47920734342967897,0.264143557532365,4.0
,0.3394,2.2920705000000003,1.0,0.498467849805035,0.26692060363511605,4.0
,0.3278,2.289572,1.0,0.513386602166226,0.26950768877617803,4.0
,0.341,2.29,1.0,0.52985622406945,0.270417811638325,4.0
,0.3698,2.292523,1.0,0.5792458031791121,0.27237971743427697,4.0
,0.3876,2.294098,1.0,0.6136984778334571,0.27384876006415604,4.0
,0.3985,2.296,1.0,0.655388165515332,0.275615682942021,4.0
,0.3883,2.296192,1.0,0.6488522771234829,0.27504499543815697,4.0
,0.3745,2.298,1.0,0.6161773731877691,0.27166980380558,4.0
,0.3728,2.2952449999999502,1.0,0.600113904390651,0.272203057900241,4.0
,0.3739,2.2753259999999997,1.0,0.5533268817765451,0.2809810282635,4.0
,0.3979,2.2645440000000496,1.0,0.563794967558804,0.288244528508615,4.0
,0.42100000000000004,2.25429,1.0,0.594892908317176,0.296579233396456,4.0
,0.4365,2.263446,1.0,0.6594258719528591,0.29544265070748804,4.0
,0.4355,2.267235,1.0,0.7126307943469841,0.29676207689796,4.0
,0.4412,2.26225599999999,1.0,0.6988238577511141,0.29881103368730394,4.0
,0.4711,2.251782,1.0,0.748258817096096,0.308348400767615,4.0
,0.4677,2.2426299999999904,1.0,0.8066949461166429,0.31759537082674,4.0
,0.4379,2.2275695,1.0,0.864665927725168,0.33019000094676504,4.0
,0.4079,2.22316000000001,1.0,0.896408267825073,0.334775651859644,4.0
,0.4024,2.22244800000002,1.0,0.8610116842760891,0.332975948892005,4.0
,0.4282,2.2283535,1.0,0.88275222051164,0.330868506342598,4.0
,0.4534,2.2260645,1.0,0.859087562298554,0.330724430041216,4.0
,0.4832,2.22048,1.0,0.830783909529963,0.33223284206416803,4.0
,0.4722,2.222008,1.0,0.770112803919945,0.327473941404533,4.0
,0.4714,2.2268985000000097,1.0,0.7105614556164279,0.32072330389254805,4.0
,0.4547,2.23540800000002,1.0,0.684252264190116,0.313913463203413,4.0
,0.4568,2.2406919999999997,1.0,0.630497106442745,0.30717913349868803,4.0
,0.4413,2.2351,1.0,0.5670589409841391,0.30630666734202805,4.0
,0.4948,2.236312,1.0,0.522281128288791,0.302545373269637,4.0
,0.5082,2.23788199999998,1.0,0.48808825548164897,0.299257603473121,4.0
,0.5262,2.2450189999999903,1.0,0.45211420843822797,0.29241443464442,4.0
,0.4728,2.24762799999999,1.0,0.45777198927665,0.291209187705156,4.0
,0.4846,2.2366,1.0,0.48719880286939204,0.299979404718471,4.0
,0.4586,2.22286899999999,1.0,0.5192973778165529,0.310524275468458,4.0
,0.4641,2.21884350000001,1.0,0.536490814473118,0.314122570831125,4.0
,0.4486,2.2332919999999996,1.0,0.537671835097301,0.305423509367565,4.0
,0.4971,2.23808,1.0,0.5434078968416489,0.302903365735492,4.0
,0.5337,2.25213599999998,1.0,0.5258094415848591,0.293160306125757,4.0
,0.5106,2.26368500000001,1.0,0.501666021889156,0.28445471844894504,4.0
,0.4616,2.2591669999999997,1.0,0.503170376689988,0.28731373014021805,4.0
,0.4217,2.2578080000000003,1.0,0.48803833722279794,0.28708999130590196,4.0
,0.4229,2.253128,1.0,0.489352095035289,0.290038087124207,4.0
,0.4568,2.250082,1.0,0.470192559683518,0.290569873546048,4.0
,0.47100000000000003,2.2419700000000002,1.0,0.491454334436451,0.29699315498669604,4.0
,0.4866,2.24506400000002,1.0,0.47723330319329405,0.294124834548747,4.0
,0.4883,2.252468,1.0,0.506941474245015,0.291657750193532,4.0
,0.4925,2.25078000000001,1.0,0.48830948412882996,0.291399130760172,4.0
,0.488,2.2481619999999998,1.0,0.48292738821997205,0.292625440855476,4.0
,0.4457,2.251104,1.0,0.466109473010672,0.289661096607121,4.0
,0.4152,2.252,1.0,0.480470048477436,0.29011081938695005,4.0
,0.4282,2.2491309999999802,1.0,0.5014402552184429,0.293312103505448,4.0
,0.4869,2.235025,1.0,0.509110649493273,0.302434051595546,4.0
,0.508,2.239201,1.0,0.49939701012319604,0.29922645762419803,4.0
,0.4806,2.241448,1.0,0.483781671149856,0.296784880579594,4.0
,0.4673,2.2449920000000096,1.0,0.4763880963104729,0.294110498055081,4.0
,0.4665,2.247229,1.0,0.48085691498353295,0.293052252601888,4.0
,0.495,2.246297,1.0,0.541499657946476,0.297783948870866,4.0
,0.4824,2.24823,1.0,0.522681608865483,0.295321535736815,4.0
,0.4641,2.2506880000000002,1.0,0.580030881250135,0.297746533055662,4.0
,0.4321,2.2489654999999997,1.0,0.543562189641734,0.296304404486031,4.0
,0.4306,2.245786,1.0,0.562750087640579,0.29954062314985497,4.0
,0.4309,2.24379050000001,1.0,0.519989426405171,0.297838554102174,4.0
,0.423,2.24307999999999,1.0,0.503701325443223,0.29715623936525704,4.0
,0.4219,2.24314800000001,1.0,0.472975502614469,0.295002223358859,4.0
,0.4464,2.23705199999999,1.0,0.430044665496613,0.2957717539002381,4.0
,0.45899999999999996,2.2360130000000003,1.0,0.43711377165346293,0.296897883880465,4.0
,0.473,2.2380720000000003,1.0,0.457531474029459,0.297043558645287,4.0
,0.4693,2.2411200000000098,1.0,0.503928226619819,0.29836645615261,4.0
,0.48,2.243583,1.0,0.5203411232288939,0.297988872668206,4.0
,0.4813,2.24576299999998,1.0,0.484318292432505,0.294186623515399,4.0
,0.4762,2.252632,1.0,0.4639516428212439,0.28857603265557397,4.0
,0.496,2.25493600000001,1.0,0.434639414322683,0.285114602117286,4.0
,0.485,2.262037,1.0,0.468246882094207,0.283122502859441,4.0
,0.4721,2.266205,1.0,0.46493979744532005,0.280340227571531,4.0
,0.4309,2.269187,1.0,0.458184949418055,0.27803828138711895,4.0
,0.4174,2.271236,1.0,0.49573822865058503,0.27943454778540505,4.0
,0.3927,2.265225,1.0,0.512382564459788,0.28426403870019296,4.0
,0.4073,2.2642990000000003,1.0,0.535990497378724,0.28646942150390303,4.0
,0.4263,2.26335,1.0,0.514007176884216,0.285519059601224,4.0
,0.4459,2.262044,1.0,0.509420369599327,0.28599523792726,4.0
,0.4471,2.2640000000000002,1.0,0.53651804261431,0.286687684831477,4.0
,0.4116,2.263605,1.0,0.532483739694432,0.28664791156596897,4.0
,0.4109,2.259316,1.0,0.5336761053774439,0.28933730262289503,4.0
,0.3884,2.2603280000000296,1.0,0.502309286724806,0.28654610435217404,4.0
,0.3982,2.26942,1.0,0.481933561066481,0.279571651242065,4.0
,0.4323,2.27494599999999,1.0,0.46881526954158,0.275267014359861,4.0
,0.4258,2.2790169999999996,1.0,0.418076762937054,0.269148293894918,4.0
,0.4115,2.2797294999999997,1.0,0.35966332403416706,0.264484964863024,4.0
,0.3715,2.279064,1.0,0.28609175202878,0.25950756692736604,4.0
,0.4081,2.2805869999999997,1.0,0.31837752044663203,0.260936656885516,4.0
,0.4113,2.28144499999999,1.0,0.39410692264144703,0.265925398185677,4.0
,0.4562,2.2773185000000002,1.0,0.460358662689845,0.27321450008250103,4.0
,0.4649,2.278,1.0,0.4934930415081671,0.27514960278561307,4.0
,0.5058,2.27286999999999,1.0,0.47831789081742293,0.277208864750185,4.0
,0.4624,2.261551,1.0,0.48664856751614705,0.284707909848985,4.0
,0.4463,2.2534345,1.0,0.493496445025816,0.29013831712403604,4.0
,0.4351,2.247976,1.0,0.486731386445604,0.293001864874276,4.0
,0.4173,2.24266,1.0,0.475035765297961,0.295442562220701,4.0
,0.4211,2.240212,1.0,0.43159213152099796,0.29393901197984196,4.0
,0.4326,2.249632,1.0,0.46221131079675204,0.290290831297486,4.0
,0.4542,2.259706,1.0,0.4533054396153571,0.283500573097065,4.0
,0.4542,2.259686,1.0,0.45211874646176003,0.28342948345554303,4.0
,0.4318,2.25999499999999,1.0,0.46364305722107296,0.284048922697568,4.0
,0.4549,2.2634615,1.0,0.49371994268476294,0.28403603221919,4.0
,0.4457,2.2642245,1.0,0.527102778291457,0.285897661692931,4.0
